Total Nacional;Municipios;Sexo;Periodo;Total
Total Nacional;01009 Asparrena;Hombres;2021;829
Total Nacional;01009 Asparrena;Mujeres;2025;797
Total Nacional;01009 Asparrena;Mujeres;2024;799
Total Nacional;01009 Asparrena;Mujeres;2023;791
Total Nacional;01009 Asparrena;Mujeres;2022;805
Total Nacional;01009 Asparrena;Mujeres;2021;804
Total Nacional;01010 Ayala/Aiara;Total;2025;2.917
Total Nacional;01010 Ayala/Aiara;Total;2024;2.939
Total Nacional;01010 Ayala/Aiara;Total;2023;2.918
Total Nacional;01010 Ayala/Aiara;Total;2022;2.922
Total Nacional;01010 Ayala/Aiara;Total;2021;2.950
Total Nacional;01010 Ayala/Aiara;Hombres;2025;1.489
Total Nacional;01010 Ayala/Aiara;Hombres;2024;1.490
Total Nacional;01010 Ayala/Aiara;Hombres;2023;1.478
Total Nacional;01010 Ayala/Aiara;Hombres;2022;1.480
Total Nacional;01010 Ayala/Aiara;Hombres;2021;1.502
Total Nacional;01010 Ayala/Aiara;Mujeres;2025;1.428
Total Nacional;01010 Ayala/Aiara;Mujeres;2024;1.449
Total Nacional;01010 Ayala/Aiara;Mujeres;2023;1.440
Total Nacional;01010 Ayala/Aiara;Mujeres;2022;1.442
Total Nacional;01010 Ayala/Aiara;Mujeres;2021;1.448
Total Nacional;01011 Baños de Ebro/Mañueta;Total;2025;292
Total Nacional;01011 Baños de Ebro/Mañueta;Total;2024;292
Total Nacional;01011 Baños de Ebro/Mañueta;Total;2023;298
Total Nacional;01011 Baños de Ebro/Mañueta;Total;2022;294
Total Nacional;01011 Baños de Ebro/Mañueta;Total;2021;286
Total Nacional;01011 Baños de Ebro/Mañueta;Hombres;2025;168
Total Nacional;01011 Baños de Ebro/Mañueta;Hombres;2024;168
Total Nacional;01011 Baños de Ebro/Mañueta;Hombres;2023;169
Total Nacional;01011 Baños de Ebro/Mañueta;Hombres;2022;169
Total Nacional;01011 Baños de Ebro/Mañueta;Hombres;2021;157
Total Nacional;01011 Baños de Ebro/Mañueta;Mujeres;2025;124
Total Nacional;01011 Baños de Ebro/Mañueta;Mujeres;2024;124
Total Nacional;01011 Baños de Ebro/Mañueta;Mujeres;2023;129
Total Nacional;01011 Baños de Ebro/Mañueta;Mujeres;2022;125
Total Nacional;01011 Baños de Ebro/Mañueta;Mujeres;2021;129
Total Nacional;01013 Barrundia;Total;2025;882
Total Nacional;01013 Barrundia;Total;2024;879
Total Nacional;01013 Barrundia;Total;2023;895
Total Nacional;01013 Barrundia;Total;2022;914
Total Nacional;01013 Barrundia;Total;2021;891
Total Nacional;01013 Barrundia;Hombres;2025;486
Total Nacional;01013 Barrundia;Hombres;2024;490
Total Nacional;01013 Barrundia;Hombres;2023;492
Total Nacional;01013 Barrundia;Hombres;2022;499
Total Nacional;01013 Barrundia;Hombres;2021;491
Total Nacional;01013 Barrundia;Mujeres;2025;396
Total Nacional;01013 Barrundia;Mujeres;2024;389
Total Nacional;01013 Barrundia;Mujeres;2023;403
Total Nacional;01013 Barrundia;Mujeres;2022;415
Total Nacional;01013 Barrundia;Mujeres;2021;400
Total Nacional;01014 Berantevilla;Total;2025;475
