Total Nacional;Municipios;Sexo;Periodo;Total
Total Nacional;16906 Valdecolmenas, Los;Total;2023;71
Total Nacional;16906 Valdecolmenas, Los;Total;2022;73
Total Nacional;16906 Valdecolmenas, Los;Total;2021;70
Total Nacional;16906 Valdecolmenas, Los;Hombres;2025;45
Total Nacional;16906 Valdecolmenas, Los;Hombres;2024;46
Total Nacional;16906 Valdecolmenas, Los;Hombres;2023;47
Total Nacional;16906 Valdecolmenas, Los;Hombres;2022;48
Total Nacional;16906 Valdecolmenas, Los;Hombres;2021;45
Total Nacional;16906 Valdecolmenas, Los;Mujeres;2025;24
Total Nacional;16906 Valdecolmenas, Los;Mujeres;2024;24
Total Nacional;16906 Valdecolmenas, Los;Mujeres;2023;24
Total Nacional;16906 Valdecolmenas, Los;Mujeres;2022;25
Total Nacional;16906 Valdecolmenas, Los;Mujeres;2021;25
Total Nacional;16908 Pozorrubielos de la Mancha;Total;2025;175
Total Nacional;16908 Pozorrubielos de la Mancha;Total;2024;177
Total Nacional;16908 Pozorrubielos de la Mancha;Total;2023;183
Total Nacional;16908 Pozorrubielos de la Mancha;Total;2022;184
Total Nacional;16908 Pozorrubielos de la Mancha;Total;2021;195
Total Nacional;16908 Pozorrubielos de la Mancha;Hombres;2025;97
Total Nacional;16908 Pozorrubielos de la Mancha;Hombres;2024;94
Total Nacional;16908 Pozorrubielos de la Mancha;Hombres;2023;102
Total Nacional;16908 Pozorrubielos de la Mancha;Hombres;2022;102
Total Nacional;16908 Pozorrubielos de la Mancha;Hombres;2021;109
Total Nacional;16908 Pozorrubielos de la Mancha;Mujeres;2025;78
Total Nacional;16908 Pozorrubielos de la Mancha;Mujeres;2024;83
Total Nacional;16908 Pozorrubielos de la Mancha;Mujeres;2023;81
Total Nacional;16908 Pozorrubielos de la Mancha;Mujeres;2022;82
Total Nacional;16908 Pozorrubielos de la Mancha;Mujeres;2021;86
Total Nacional;16909 Sotorribas;Total;2025;710
Total Nacional;16909 Sotorribas;Total;2024;706
Total Nacional;16909 Sotorribas;Total;2023;698
Total Nacional;16909 Sotorribas;Total;2022;699
Total Nacional;16909 Sotorribas;Total;2021;684
Total Nacional;16909 Sotorribas;Hombres;2025;368
Total Nacional;16909 Sotorribas;Hombres;2024;366
Total Nacional;16909 Sotorribas;Hombres;2023;366
Total Nacional;16909 Sotorribas;Hombres;2022;364
Total Nacional;16909 Sotorribas;Hombres;2021;362
Total Nacional;16909 Sotorribas;Mujeres;2025;342
Total Nacional;16909 Sotorribas;Mujeres;2024;340
Total Nacional;16909 Sotorribas;Mujeres;2023;332
Total Nacional;16909 Sotorribas;Mujeres;2022;335
Total Nacional;16909 Sotorribas;Mujeres;2021;322
Total Nacional;16910 Villar y Velasco;Total;2025;92
Total Nacional;16910 Villar y Velasco;Total;2024;77
Total Nacional;16910 Villar y Velasco;Total;2023;79
Total Nacional;16910 Villar y Velasco;Total;2022;80
Total Nacional;16910 Villar y Velasco;Total;2021;71
Total Nacional;16910 Villar y Velasco;Hombres;2025;49
Total Nacional;16910 Villar y Velasco;Hombres;2024;43
Total Nacional;16910 Villar y Velasco;Hombres;2023;46
Total Nacional;16910 Villar y Velasco;Hombres;2022;45
Total Nacional;16910 Villar y Velasco;Hombres;2021;41
Total Nacional;16910 Villar y Velasco;Mujeres;2025;43
Total Nacional;16910 Villar y Velasco;Mujeres;2024;34
Total Nacional;16910 Villar y Velasco;Mujeres;2023;33
Total Nacional;16910 Villar y Velasco;Mujeres;2022;35
Total Nacional;16910 Villar y Velasco;Mujeres;2021;30
Total Nacional;17001 Agullana;Total;2025;881
Total Nacional;17001 Agullana;Total;2024;910
Total Nacional;17001 Agullana;Total;2023;921
Total Nacional;17001 Agullana;Total;2022;897
Total Nacional;17001 Agullana;Total;2021;889
Total Nacional;17001 Agullana;Hombres;2025;435
Total Nacional;17001 Agullana;Hombres;2024;446
Total Nacional;17001 Agullana;Hombres;2023;455
Total Nacional;17001 Agullana;Hombres;2022;454
Total Nacional;17001 Agullana;Hombres;2021;446
Total Nacional;17001 Agullana;Mujeres;2025;446
Total Nacional;17001 Agullana;Mujeres;2024;464
Total Nacional;17001 Agullana;Mujeres;2023;466
Total Nacional;17001 Agullana;Mujeres;2022;443
Total Nacional;17001 Agullana;Mujeres;2021;443
Total Nacional;17002 Aiguaviva;Total;2025;805
Total Nacional;17002 Aiguaviva;Total;2024;800
Total Nacional;17002 Aiguaviva;Total;2023;771
Total Nacional;17002 Aiguaviva;Total;2022;778
Total Nacional;17002 Aiguaviva;Total;2021;789
Total Nacional;17002 Aiguaviva;Hombres;2025;415
Total Nacional;17002 Aiguaviva;Hombres;2024;402
Total Nacional;17002 Aiguaviva;Hombres;2023;383
Total Nacional;17002 Aiguaviva;Hombres;2022;386
Total Nacional;17002 Aiguaviva;Hombres;2021;394
Total Nacional;17002 Aiguaviva;Mujeres;2025;390
Total Nacional;17002 Aiguaviva;Mujeres;2024;398
Total Nacional;17002 Aiguaviva;Mujeres;2023;388
Total Nacional;17002 Aiguaviva;Mujeres;2022;392
Total Nacional;17002 Aiguaviva;Mujeres;2021;395
Total Nacional;17003 Albanyà;Total;2025;158
Total Nacional;17003 Albanyà;Total;2024;167
Total Nacional;17003 Albanyà;Total;2023;170
Total Nacional;17003 Albanyà;Total;2022;178
Total Nacional;17003 Albanyà;Total;2021;175
Total Nacional;17003 Albanyà;Hombres;2025;80
Total Nacional;17003 Albanyà;Hombres;2024;85
Total Nacional;17003 Albanyà;Hombres;2023;87
Total Nacional;17003 Albanyà;Hombres;2022;92
Total Nacional;17003 Albanyà;Hombres;2021;90
Total Nacional;17003 Albanyà;Mujeres;2025;78
Total Nacional;17003 Albanyà;Mujeres;2024;82
Total Nacional;17003 Albanyà;Mujeres;2023;83
Total Nacional;17003 Albanyà;Mujeres;2022;86
Total Nacional;17003 Albanyà;Mujeres;2021;85
Total Nacional;17004 Albons;Total;2025;852
Total Nacional;17004 Albons;Total;2024;828
Total Nacional;17004 Albons;Total;2023;816
Total Nacional;17004 Albons;Total;2022;795
Total Nacional;17004 Albons;Total;2021;794
Total Nacional;17004 Albons;Hombres;2025;432
Total Nacional;17004 Albons;Hombres;2024;424
Total Nacional;17004 Albons;Hombres;2023;423
Total Nacional;17004 Albons;Hombres;2022;413
Total Nacional;17004 Albons;Hombres;2021;404
Total Nacional;17004 Albons;Mujeres;2025;420
Total Nacional;17004 Albons;Mujeres;2024;404
Total Nacional;17004 Albons;Mujeres;2023;393
Total Nacional;17004 Albons;Mujeres;2022;382
Total Nacional;17004 Albons;Mujeres;2021;390
Total Nacional;17005 Far d'Empordà, El;Total;2025;624
Total Nacional;17005 Far d'Empordà, El;Total;2024;626
Total Nacional;17005 Far d'Empordà, El;Total;2023;611
Total Nacional;17005 Far d'Empordà, El;Total;2022;621
Total Nacional;17005 Far d'Empordà, El;Total;2021;623
Total Nacional;17005 Far d'Empordà, El;Hombres;2025;318
Total Nacional;17005 Far d'Empordà, El;Hombres;2024;313
Total Nacional;17005 Far d'Empordà, El;Hombres;2023;309
Total Nacional;17005 Far d'Empordà, El;Hombres;2022;316
Total Nacional;17005 Far d'Empordà, El;Hombres;2021;320
Total Nacional;17005 Far d'Empordà, El;Mujeres;2025;306
Total Nacional;17005 Far d'Empordà, El;Mujeres;2024;313
Total Nacional;17005 Far d'Empordà, El;Mujeres;2023;302
Total Nacional;17005 Far d'Empordà, El;Mujeres;2022;305
Total Nacional;17005 Far d'Empordà, El;Mujeres;2021;303
Total Nacional;17006 Alp;Total;2025;1.724
Total Nacional;17006 Alp;Total;2024;1.727
Total Nacional;17006 Alp;Total;2023;1.721
Total Nacional;17006 Alp;Total;2022;1.715
Total Nacional;17006 Alp;Total;2021;1.653
Total Nacional;17006 Alp;Hombres;2025;902
Total Nacional;17006 Alp;Hombres;2024;889
Total Nacional;17006 Alp;Hombres;2023;898
Total Nacional;17006 Alp;Hombres;2022;892
Total Nacional;17006 Alp;Hombres;2021;852
Total Nacional;17006 Alp;Mujeres;2025;822
Total Nacional;17006 Alp;Mujeres;2024;838
Total Nacional;17006 Alp;Mujeres;2023;823
Total Nacional;17006 Alp;Mujeres;2022;823
Total Nacional;17006 Alp;Mujeres;2021;801
Total Nacional;17007 Amer;Total;2025;2.419
Total Nacional;17007 Amer;Total;2024;2.421
Total Nacional;17007 Amer;Total;2023;2.415
Total Nacional;17007 Amer;Total;2022;2.420
Total Nacional;17007 Amer;Total;2021;2.381
Total Nacional;17007 Amer;Hombres;2025;1.202
Total Nacional;17007 Amer;Hombres;2024;1.207
Total Nacional;17007 Amer;Hombres;2023;1.192
Total Nacional;17007 Amer;Hombres;2022;1.187
Total Nacional;17007 Amer;Hombres;2021;1.169
Total Nacional;17007 Amer;Mujeres;2025;1.217
Total Nacional;17007 Amer;Mujeres;2024;1.214
Total Nacional;17007 Amer;Mujeres;2023;1.223
Total Nacional;17007 Amer;Mujeres;2022;1.233
Total Nacional;17007 Amer;Mujeres;2021;1.212
Total Nacional;17008 Anglès;Total;2025;5.904
Total Nacional;17008 Anglès;Total;2024;5.915
Total Nacional;17008 Anglès;Total;2023;5.839
Total Nacional;17008 Anglès;Total;2022;5.699
Total Nacional;17008 Anglès;Total;2021;5.706
Total Nacional;17008 Anglès;Hombres;2025;2.942
Total Nacional;17008 Anglès;Hombres;2024;2.953
Total Nacional;17008 Anglès;Hombres;2023;2.938
Total Nacional;17008 Anglès;Hombres;2022;2.860
Total Nacional;17008 Anglès;Hombres;2021;2.845
Total Nacional;17008 Anglès;Mujeres;2025;2.962
Total Nacional;17008 Anglès;Mujeres;2024;2.962
Total Nacional;17008 Anglès;Mujeres;2023;2.901
Total Nacional;17008 Anglès;Mujeres;2022;2.839
Total Nacional;17008 Anglès;Mujeres;2021;2.861
Total Nacional;17009 Arbúcies;Total;2025;6.635
Total Nacional;17009 Arbúcies;Total;2024;6.555
Total Nacional;17009 Arbúcies;Total;2023;6.527
Total Nacional;17009 Arbúcies;Total;2022;6.505
Total Nacional;17009 Arbúcies;Total;2021;6.502
Total Nacional;17009 Arbúcies;Hombres;2025;3.418
Total Nacional;17009 Arbúcies;Hombres;2024;3.370
Total Nacional;17009 Arbúcies;Hombres;2023;3.361
Total Nacional;17009 Arbúcies;Hombres;2022;3.357
Total Nacional;17009 Arbúcies;Hombres;2021;3.365
Total Nacional;17009 Arbúcies;Mujeres;2025;3.217
Total Nacional;17009 Arbúcies;Mujeres;2024;3.185
Total Nacional;17009 Arbúcies;Mujeres;2023;3.166
Total Nacional;17009 Arbúcies;Mujeres;2022;3.148
Total Nacional;17009 Arbúcies;Mujeres;2021;3.137
Total Nacional;17010 Argelaguer;Total;2025;467
Total Nacional;17010 Argelaguer;Total;2024;451
Total Nacional;17010 Argelaguer;Total;2023;428
Total Nacional;17010 Argelaguer;Total;2022;439
Total Nacional;17010 Argelaguer;Total;2021;416
Total Nacional;17010 Argelaguer;Hombres;2025;233
Total Nacional;17010 Argelaguer;Hombres;2024;234
Total Nacional;17010 Argelaguer;Hombres;2023;214
Total Nacional;17010 Argelaguer;Hombres;2022;224
Total Nacional;17010 Argelaguer;Hombres;2021;212
Total Nacional;17010 Argelaguer;Mujeres;2025;234
Total Nacional;17010 Argelaguer;Mujeres;2024;217
Total Nacional;17010 Argelaguer;Mujeres;2023;214
Total Nacional;17010 Argelaguer;Mujeres;2022;215
Total Nacional;17010 Argelaguer;Mujeres;2021;204
Total Nacional;17011 Armentera, L';Total;2025;1.076
Total Nacional;17011 Armentera, L';Total;2024;1.070
Total Nacional;17011 Armentera, L';Total;2023;1.063
Total Nacional;17011 Armentera, L';Total;2022;1.043
Total Nacional;17011 Armentera, L';Total;2021;994
Total Nacional;17011 Armentera, L';Hombres;2025;545
Total Nacional;17011 Armentera, L';Hombres;2024;540
Total Nacional;17011 Armentera, L';Hombres;2023;539
Total Nacional;17011 Armentera, L';Hombres;2022;533
Total Nacional;17011 Armentera, L';Hombres;2021;503
Total Nacional;17011 Armentera, L';Mujeres;2025;531
Total Nacional;17011 Armentera, L';Mujeres;2024;530
Total Nacional;17011 Armentera, L';Mujeres;2023;524
Total Nacional;17011 Armentera, L';Mujeres;2022;510
Total Nacional;17011 Armentera, L';Mujeres;2021;491
Total Nacional;17012 Avinyonet de Puigventós;Total;2025;1.669
Total Nacional;17012 Avinyonet de Puigventós;Total;2024;1.689
Total Nacional;17012 Avinyonet de Puigventós;Total;2023;1.684
Total Nacional;17012 Avinyonet de Puigventós;Total;2022;1.680
Total Nacional;17012 Avinyonet de Puigventós;Total;2021;1.663
Total Nacional;17012 Avinyonet de Puigventós;Hombres;2025;829
Total Nacional;17012 Avinyonet de Puigventós;Hombres;2024;844
Total Nacional;17012 Avinyonet de Puigventós;Hombres;2023;847
Total Nacional;17012 Avinyonet de Puigventós;Hombres;2022;835
Total Nacional;17012 Avinyonet de Puigventós;Hombres;2021;829
Total Nacional;17012 Avinyonet de Puigventós;Mujeres;2025;840
Total Nacional;17012 Avinyonet de Puigventós;Mujeres;2024;845
Total Nacional;17012 Avinyonet de Puigventós;Mujeres;2023;837
Total Nacional;17012 Avinyonet de Puigventós;Mujeres;2022;845
Total Nacional;17012 Avinyonet de Puigventós;Mujeres;2021;834
Total Nacional;17013 Begur;Total;2025;4.286
Total Nacional;17013 Begur;Total;2024;4.227
Total Nacional;17013 Begur;Total;2023;4.229
Total Nacional;17013 Begur;Total;2022;4.200
Total Nacional;17013 Begur;Total;2021;4.055
Total Nacional;17013 Begur;Hombres;2025;2.133
Total Nacional;17013 Begur;Hombres;2024;2.117
Total Nacional;17013 Begur;Hombres;2023;2.112
Total Nacional;17013 Begur;Hombres;2022;2.101
Total Nacional;17013 Begur;Hombres;2021;2.034
Total Nacional;17013 Begur;Mujeres;2025;2.153
Total Nacional;17013 Begur;Mujeres;2024;2.110
Total Nacional;17013 Begur;Mujeres;2023;2.117
Total Nacional;17013 Begur;Mujeres;2022;2.099
Total Nacional;17013 Begur;Mujeres;2021;2.021
Total Nacional;17014 Vajol, La;Total;2025;110
Total Nacional;17014 Vajol, La;Total;2024;98
Total Nacional;17014 Vajol, La;Total;2023;97
Total Nacional;17014 Vajol, La;Total;2022;87
Total Nacional;17014 Vajol, La;Total;2021;89
Total Nacional;17014 Vajol, La;Hombres;2025;64
Total Nacional;17014 Vajol, La;Hombres;2024;56
Total Nacional;17014 Vajol, La;Hombres;2023;55
Total Nacional;17014 Vajol, La;Hombres;2022;50
Total Nacional;17014 Vajol, La;Hombres;2021;49
Total Nacional;17014 Vajol, La;Mujeres;2025;46
Total Nacional;17014 Vajol, La;Mujeres;2024;42
Total Nacional;17014 Vajol, La;Mujeres;2023;42
Total Nacional;17014 Vajol, La;Mujeres;2022;37
Total Nacional;17014 Vajol, La;Mujeres;2021;40
Total Nacional;17015 Banyoles;Total;2025;20.887
Total Nacional;17015 Banyoles;Total;2024;20.707
Total Nacional;17015 Banyoles;Total;2023;20.492
Total Nacional;17015 Banyoles;Total;2022;20.164
Total Nacional;17015 Banyoles;Total;2021;20.131
Total Nacional;17015 Banyoles;Hombres;2025;10.326
Total Nacional;17015 Banyoles;Hombres;2024;10.252
Total Nacional;17015 Banyoles;Hombres;2023;10.169
Total Nacional;17015 Banyoles;Hombres;2022;9.992
Total Nacional;17015 Banyoles;Hombres;2021;10.026
Total Nacional;17015 Banyoles;Mujeres;2025;10.561
Total Nacional;17015 Banyoles;Mujeres;2024;10.455
Total Nacional;17015 Banyoles;Mujeres;2023;10.323
Total Nacional;17015 Banyoles;Mujeres;2022;10.172
Total Nacional;17015 Banyoles;Mujeres;2021;10.105
Total Nacional;17016 Bàscara;Total;2025;1.048
Total Nacional;17016 Bàscara;Total;2024;1.055
Total Nacional;17016 Bàscara;Total;2023;1.053
Total Nacional;17016 Bàscara;Total;2022;1.031
Total Nacional;17016 Bàscara;Total;2021;1.015
Total Nacional;17016 Bàscara;Hombres;2025;526
Total Nacional;17016 Bàscara;Hombres;2024;538
Total Nacional;17016 Bàscara;Hombres;2023;538
Total Nacional;17016 Bàscara;Hombres;2022;535
Total Nacional;17016 Bàscara;Hombres;2021;524
Total Nacional;17016 Bàscara;Mujeres;2025;522
Total Nacional;17016 Bàscara;Mujeres;2024;517
Total Nacional;17016 Bàscara;Mujeres;2023;515
Total Nacional;17016 Bàscara;Mujeres;2022;496
Total Nacional;17016 Bàscara;Mujeres;2021;491
Total Nacional;17018 Bellcaire d'Empordà;Total;2025;722
Total Nacional;17018 Bellcaire d'Empordà;Total;2024;737
Total Nacional;17018 Bellcaire d'Empordà;Total;2023;727
Total Nacional;17018 Bellcaire d'Empordà;Total;2022;714
Total Nacional;17018 Bellcaire d'Empordà;Total;2021;698
Total Nacional;17018 Bellcaire d'Empordà;Hombres;2025;364
Total Nacional;17018 Bellcaire d'Empordà;Hombres;2024;360
Total Nacional;17018 Bellcaire d'Empordà;Hombres;2023;356
Total Nacional;17018 Bellcaire d'Empordà;Hombres;2022;345
Total Nacional;17018 Bellcaire d'Empordà;Hombres;2021;332
Total Nacional;17018 Bellcaire d'Empordà;Mujeres;2025;358
Total Nacional;17018 Bellcaire d'Empordà;Mujeres;2024;377
Total Nacional;17018 Bellcaire d'Empordà;Mujeres;2023;371
Total Nacional;17018 Bellcaire d'Empordà;Mujeres;2022;369
Total Nacional;17018 Bellcaire d'Empordà;Mujeres;2021;366
Total Nacional;17019 Besalú;Total;2025;2.591
Total Nacional;17019 Besalú;Total;2024;2.577
Total Nacional;17019 Besalú;Total;2023;2.512
Total Nacional;17019 Besalú;Total;2022;2.477
Total Nacional;17019 Besalú;Total;2021;2.499
Total Nacional;17019 Besalú;Hombres;2025;1.253
Total Nacional;17019 Besalú;Hombres;2024;1.230
Total Nacional;17019 Besalú;Hombres;2023;1.184
Total Nacional;17019 Besalú;Hombres;2022;1.180
Total Nacional;17019 Besalú;Hombres;2021;1.174
Total Nacional;17019 Besalú;Mujeres;2025;1.338
Total Nacional;17019 Besalú;Mujeres;2024;1.347
Total Nacional;17019 Besalú;Mujeres;2023;1.328
Total Nacional;17019 Besalú;Mujeres;2022;1.297
Total Nacional;17019 Besalú;Mujeres;2021;1.325
Total Nacional;17020 Bescanó;Total;2025;5.087
Total Nacional;17020 Bescanó;Total;2024;5.122
Total Nacional;17020 Bescanó;Total;2023;5.171
Total Nacional;17020 Bescanó;Total;2022;5.143
Total Nacional;17020 Bescanó;Total;2021;5.099
Total Nacional;17020 Bescanó;Hombres;2025;2.539
Total Nacional;17020 Bescanó;Hombres;2024;2.582
Total Nacional;17020 Bescanó;Hombres;2023;2.597
Total Nacional;17020 Bescanó;Hombres;2022;2.601
Total Nacional;17020 Bescanó;Hombres;2021;2.578
Total Nacional;17020 Bescanó;Mujeres;2025;2.548
Total Nacional;17020 Bescanó;Mujeres;2024;2.540
Total Nacional;17020 Bescanó;Mujeres;2023;2.574
Total Nacional;17020 Bescanó;Mujeres;2022;2.542
Total Nacional;17020 Bescanó;Mujeres;2021;2.521
Total Nacional;17021 Beuda;Total;2025;202
Total Nacional;17021 Beuda;Total;2024;205
Total Nacional;17021 Beuda;Total;2023;212
Total Nacional;17021 Beuda;Total;2022;205
Total Nacional;17021 Beuda;Total;2021;190
Total Nacional;17021 Beuda;Hombres;2025;101
Total Nacional;17021 Beuda;Hombres;2024;103
Total Nacional;17021 Beuda;Hombres;2023;109
Total Nacional;17021 Beuda;Hombres;2022;107
Total Nacional;17021 Beuda;Hombres;2021;98
Total Nacional;17021 Beuda;Mujeres;2025;101
Total Nacional;17021 Beuda;Mujeres;2024;102
Total Nacional;17021 Beuda;Mujeres;2023;103
Total Nacional;17021 Beuda;Mujeres;2022;98
Total Nacional;17021 Beuda;Mujeres;2021;92
Total Nacional;17022 Bisbal d'Empordà, La;Total;2025;11.731
Total Nacional;17022 Bisbal d'Empordà, La;Total;2024;11.637
Total Nacional;17022 Bisbal d'Empordà, La;Total;2023;11.364
Total Nacional;17022 Bisbal d'Empordà, La;Total;2022;11.135
Total Nacional;17022 Bisbal d'Empordà, La;Total;2021;11.169
Total Nacional;17022 Bisbal d'Empordà, La;Hombres;2025;5.867
Total Nacional;17022 Bisbal d'Empordà, La;Hombres;2024;5.842
Total Nacional;17022 Bisbal d'Empordà, La;Hombres;2023;5.684
Total Nacional;17022 Bisbal d'Empordà, La;Hombres;2022;5.586
Total Nacional;17022 Bisbal d'Empordà, La;Hombres;2021;5.585
Total Nacional;17022 Bisbal d'Empordà, La;Mujeres;2025;5.864
Total Nacional;17022 Bisbal d'Empordà, La;Mujeres;2024;5.795
Total Nacional;17022 Bisbal d'Empordà, La;Mujeres;2023;5.680
Total Nacional;17022 Bisbal d'Empordà, La;Mujeres;2022;5.549
Total Nacional;17022 Bisbal d'Empordà, La;Mujeres;2021;5.584
Total Nacional;17023 Blanes;Total;2025;42.446
Total Nacional;17023 Blanes;Total;2024;41.935
Total Nacional;17023 Blanes;Total;2023;41.517
Total Nacional;17023 Blanes;Total;2022;40.378
Total Nacional;17023 Blanes;Total;2021;40.119
Total Nacional;17023 Blanes;Hombres;2025;21.131
Total Nacional;17023 Blanes;Hombres;2024;20.805
Total Nacional;17023 Blanes;Hombres;2023;20.639
Total Nacional;17023 Blanes;Hombres;2022;20.090
Total Nacional;17023 Blanes;Hombres;2021;19.963
Total Nacional;17023 Blanes;Mujeres;2025;21.315
Total Nacional;17023 Blanes;Mujeres;2024;21.130
Total Nacional;17023 Blanes;Mujeres;2023;20.878
Total Nacional;17023 Blanes;Mujeres;2022;20.288
Total Nacional;17023 Blanes;Mujeres;2021;20.156
Total Nacional;17024 Bolvir;Total;2025;493
Total Nacional;17024 Bolvir;Total;2024;497
Total Nacional;17024 Bolvir;Total;2023;508
Total Nacional;17024 Bolvir;Total;2022;517
Total Nacional;17024 Bolvir;Total;2021;490
Total Nacional;17024 Bolvir;Hombres;2025;255
Total Nacional;17024 Bolvir;Hombres;2024;255
Total Nacional;17024 Bolvir;Hombres;2023;258
Total Nacional;17024 Bolvir;Hombres;2022;267
Total Nacional;17024 Bolvir;Hombres;2021;259
Total Nacional;17024 Bolvir;Mujeres;2025;238
Total Nacional;17024 Bolvir;Mujeres;2024;242
Total Nacional;17024 Bolvir;Mujeres;2023;250
Total Nacional;17024 Bolvir;Mujeres;2022;250
Total Nacional;17024 Bolvir;Mujeres;2021;231
Total Nacional;17025 Bordils;Total;2025;1.824
Total Nacional;17025 Bordils;Total;2024;1.801
Total Nacional;17025 Bordils;Total;2023;1.794
Total Nacional;17025 Bordils;Total;2022;1.800
Total Nacional;17025 Bordils;Total;2021;1.795
Total Nacional;17025 Bordils;Hombres;2025;908
Total Nacional;17025 Bordils;Hombres;2024;904
Total Nacional;17025 Bordils;Hombres;2023;902
Total Nacional;17025 Bordils;Hombres;2022;903
Total Nacional;17025 Bordils;Hombres;2021;904
Total Nacional;17025 Bordils;Mujeres;2025;916
Total Nacional;17025 Bordils;Mujeres;2024;897
Total Nacional;17025 Bordils;Mujeres;2023;892
Total Nacional;17025 Bordils;Mujeres;2022;897
Total Nacional;17025 Bordils;Mujeres;2021;891
Total Nacional;17026 Borrassà;Total;2025;802
Total Nacional;17026 Borrassà;Total;2024;774
Total Nacional;17026 Borrassà;Total;2023;795
Total Nacional;17026 Borrassà;Total;2022;774
Total Nacional;17026 Borrassà;Total;2021;750
Total Nacional;17026 Borrassà;Hombres;2025;414
Total Nacional;17026 Borrassà;Hombres;2024;400
Total Nacional;17026 Borrassà;Hombres;2023;408
Total Nacional;17026 Borrassà;Hombres;2022;402
Total Nacional;17026 Borrassà;Hombres;2021;389
Total Nacional;17026 Borrassà;Mujeres;2025;388
Total Nacional;17026 Borrassà;Mujeres;2024;374
Total Nacional;17026 Borrassà;Mujeres;2023;387
Total Nacional;17026 Borrassà;Mujeres;2022;372
Total Nacional;17026 Borrassà;Mujeres;2021;361
Total Nacional;17027 Breda;Total;2025;3.964
Total Nacional;17027 Breda;Total;2024;3.917
Total Nacional;17027 Breda;Total;2023;3.892
Total Nacional;17027 Breda;Total;2022;3.839
Total Nacional;17027 Breda;Total;2021;3.835
Total Nacional;17027 Breda;Hombres;2025;1.942
Total Nacional;17027 Breda;Hombres;2024;1.913
Total Nacional;17027 Breda;Hombres;2023;1.906
Total Nacional;17027 Breda;Hombres;2022;1.894
Total Nacional;17027 Breda;Hombres;2021;1.898
Total Nacional;17027 Breda;Mujeres;2025;2.022
Total Nacional;17027 Breda;Mujeres;2024;2.004
Total Nacional;17027 Breda;Mujeres;2023;1.986
Total Nacional;17027 Breda;Mujeres;2022;1.945
Total Nacional;17027 Breda;Mujeres;2021;1.937
Total Nacional;17028 Brunyola i Sant Martí Sapresa;Total;2025;399
Total Nacional;17028 Brunyola i Sant Martí Sapresa;Total;2024;393
Total Nacional;17028 Brunyola i Sant Martí Sapresa;Total;2023;398
Total Nacional;17028 Brunyola i Sant Martí Sapresa;Total;2022;388
Total Nacional;17028 Brunyola i Sant Martí Sapresa;Total;2021;390
Total Nacional;17028 Brunyola i Sant Martí Sapresa;Hombres;2025;210
Total Nacional;17028 Brunyola i Sant Martí Sapresa;Hombres;2024;204
Total Nacional;17028 Brunyola i Sant Martí Sapresa;Hombres;2023;204
Total Nacional;17028 Brunyola i Sant Martí Sapresa;Hombres;2022;201
Total Nacional;17028 Brunyola i Sant Martí Sapresa;Hombres;2021;200
Total Nacional;17028 Brunyola i Sant Martí Sapresa;Mujeres;2025;189
Total Nacional;17028 Brunyola i Sant Martí Sapresa;Mujeres;2024;189
Total Nacional;17028 Brunyola i Sant Martí Sapresa;Mujeres;2023;194
Total Nacional;17028 Brunyola i Sant Martí Sapresa;Mujeres;2022;187
Total Nacional;17028 Brunyola i Sant Martí Sapresa;Mujeres;2021;190
Total Nacional;17029 Boadella i les Escaules;Total;2025;264
Total Nacional;17029 Boadella i les Escaules;Total;2024;260
Total Nacional;17029 Boadella i les Escaules;Total;2023;262
Total Nacional;17029 Boadella i les Escaules;Total;2022;258
Total Nacional;17029 Boadella i les Escaules;Total;2021;270
Total Nacional;17029 Boadella i les Escaules;Hombres;2025;130
Total Nacional;17029 Boadella i les Escaules;Hombres;2024;130
Total Nacional;17029 Boadella i les Escaules;Hombres;2023;131
Total Nacional;17029 Boadella i les Escaules;Hombres;2022;129
Total Nacional;17029 Boadella i les Escaules;Hombres;2021;137
Total Nacional;17029 Boadella i les Escaules;Mujeres;2025;134
Total Nacional;17029 Boadella i les Escaules;Mujeres;2024;130
Total Nacional;17029 Boadella i les Escaules;Mujeres;2023;131
Total Nacional;17029 Boadella i les Escaules;Mujeres;2022;129
Total Nacional;17029 Boadella i les Escaules;Mujeres;2021;133
Total Nacional;17030 Cabanes;Total;2025;998
Total Nacional;17030 Cabanes;Total;2024;975
Total Nacional;17030 Cabanes;Total;2023;938
Total Nacional;17030 Cabanes;Total;2022;934
Total Nacional;17030 Cabanes;Total;2021;946
Total Nacional;17030 Cabanes;Hombres;2025;542
Total Nacional;17030 Cabanes;Hombres;2024;509
Total Nacional;17030 Cabanes;Hombres;2023;490
Total Nacional;17030 Cabanes;Hombres;2022;474
Total Nacional;17030 Cabanes;Hombres;2021;514
Total Nacional;17030 Cabanes;Mujeres;2025;456
Total Nacional;17030 Cabanes;Mujeres;2024;466
Total Nacional;17030 Cabanes;Mujeres;2023;448
Total Nacional;17030 Cabanes;Mujeres;2022;460
Total Nacional;17030 Cabanes;Mujeres;2021;432
Total Nacional;17031 Cabanelles;Total;2025;286
Total Nacional;17031 Cabanelles;Total;2024;280
Total Nacional;17031 Cabanelles;Total;2023;276
Total Nacional;17031 Cabanelles;Total;2022;278
Total Nacional;17031 Cabanelles;Total;2021;263
Total Nacional;17031 Cabanelles;Hombres;2025;154
Total Nacional;17031 Cabanelles;Hombres;2024;153
